ID,GROUP NO,DESCRIPTION,FUNC,UNIT,TYPE,SENSOR TYPE,ALARM GROUP,INPUT CH,INHIBIT ID,OUT CH,EAU GROUP,RANGE MIN,RANGE MAX,LOW ALARM,HIGH ALARM,OFFSET,SPAN,ON DELAY,OFFDELAY,CONTROL,ENABLE,ALARM LEVEL,VDR,LOLO (INDICATOR),LOW ,HIGH,HIHI,ALARM PRINTER,LOLO ALARM,HIHI ALARM,ONDELAY2,OFFDELAY2,MEAN ID,INPUT ID
362,MP06,OILY WATER SEPARATOR OIL CONTENT HIGH ,OAH,,1,0,12,801,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
363,MP13,ICCP & MGPS COMMON ABNORMAL,XA,,1,0,12,802,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
364,MP15,CTRL. AIR DRYER RUNNING,XA,,1,0,12,803,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
365,MP17,EM'CY FIRE PP ABNORMAL,XA,,1,0,12,804,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
366,MP18,EM'CY FIRE PP RUNNING,XI,,1,0,12,805,0,0,3,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
372,MP27,BOW THRUSTER ABNORMAL,XA,,1,0,12,900,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
373,MP29,S.T. W/VACUUMARATOR RUNNING,XI,,1,0,12,901,0,0,3,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
374,MP30,S.T. W/VACUUMARATOR ABNORMAL,XA,,1,0,12,902,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
375,MP31,PROVISION CRANE H.P.U. RUN,XI,,1,0,12,903,0,0,3,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
376,MP32,PROVISION CRANE COMMON ABNORMAL,XA,,1,0,12,904,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
